ID Name,Red,Green,Blue,Hexadecimal
AirForceBlueRaf,93,138,168,#5d8aa8
AirForceBlueUsaf,0,48,143,#00308f
AirSuperiorityBlue,114,160,193,#72a0c1
AlabamaCrimson,163,38,56,#a32638
AliceBlue,240,248,255,#f0f8ff
AlizarinCrimson,227,38,54,#e32636
AlloyOrange,196,98,16,#c46210
Almond,239,222,205,#efdecd
Amaranth,229,43,80,#e52b50
Amber,255,191,0,#ffbf00
AmberSaeEce,255,126,0,#ff7e00
AmericanRose,255,3,62,#ff033e
Amethyst,153,102,204,#00096c
AndroidGreen,164,198,57,#a4c639
AntiFlashWhite,242,243,244,#f2f3f4
AntiqueBrass,205,149,117,#cd9575
AntiqueFuchsia,145,92,131,#915c83
AntiqueRuby,132,27,45,#841b2d
AntiqueWhite,250,235,215,#faebd7
AoEnglish,0,128,0,#008000
AppleGreen,141,182,0,#8db600
Apricot,251,206,177,#fbceb1
Aqua,0,255,255,#0000ff
Aquamarine,127,255,212,#7fffd4
ArmyGreen,75,83,32,#4b5320
Arsenic,59,68,75,#3b444b
ArylideYellow,233,214,107,#e9d66b
AshGrey,178,190,181,#b2beb5
Asparagus,135,169,107,#87a96b
AtomicTangerine,255,153,102,#000f96
Auburn,165,42,42,#a52a2a
Aureolin,253,238,0,#fdee00
Aurometalsaurus,110,127,128,#6e7f80
Avocado,86,130,3,#568203
Azure,0,127,255,#007fff
AzureMistWeb,240,255,255,#f0ffff
BabyBlue,137,207,240,#89cff0
BabyBlueEyes,161,202,241,#a1caf1
BabyPink,244,194,194,#f4c2c2
BallBlue,33,171,205,#21abcd
BananaMania,250,231,181,#fae7b5
BananaYellow,255,225,53,#ffe135
BarnRed,124,10,2,#7c0a02
BattleshipGrey,132,132,130,#848482
Bazaar,152,119,123,#98777b
BeauBlue,188,212,230,#bcd4e6
Beaver,159,129,112,#9f8170
Beige,245,245,220,#f5f5dc
BigDipORuby,156,37,66,#9c2542
Bisque,255,228,196,#ffe4c4
Bistre,61,43,31,#3d2b1f
Bittersweet,254,111,94,#fe6f5e
BittersweetShimmer,191,79,81,#bf4f51
Black,0,0,0,#000000
BlackBean,61,12,2,#3d0c02
BlackLeatherJacket,37,53,41,#253529
BlackOlive,59,60,54,#3b3c36
BlanchedAlmond,255,235,205,#ffebcd
BlastOffBronze,165,113,100,#a57164
BleuDeFrance,49,140,231,#318ce7
BlizzardBlue,172,229,238,#ace5ee
Blond,250,240,190,#faf0be
Blue,0,0,255,#00000f
BlueBell,162,162,208,#a2a2d0
BlueCrayola,31,117,254,#1f75fe
BlueGray,102,153,204,#00069c
BlueGreen,13,152,186,#0d98ba
BlueMunsell,0,147,175,#0093af
BlueNcs,0,135,189,#0087bd
BluePigment,51,51,153,#000339
BlueRyb,2,71,254,#0247fe
BlueSapphire,18,97,128,#126180
BlueViolet,138,43,226,#8a2be2
Blush,222,93,131,#de5d83
Bole,121,68,59,#79443b
BondiBlue,0,149,182,#0095b6
Bone,227,218,201,#e3dac9
BostonUniversityRed,204,0,0,#000c00
BottleGreen,0,106,78,#006a4e
Boysenberry,135,50,96,#873260
BrandeisBlue,0,112,255,#0070ff
Brass,181,166,66,#b5a642
BrickRed,203,65,84,#cb4154
BrightCerulean,29,172,214,#1dacd6
BrightGreen,102,255,0,#0006f0
BrightLavender,191,148,228,#bf94e4
BrightMaroon,195,33,72,#c32148
BrightPink,255,0,127,#ff007f
BrightTurquoise,8,232,222,#08e8de
BrightUbe,209,159,232,#d19fe8
BrilliantLavender,244,187,255,#f4bbff
BrilliantRose,255,85,163,#ff55a3
BrinkPink,251,96,127,#fb607f
BritishRacingGreen,0,66,37,#004225
Bronze,205,127,50,#cd7f32
BrownTraditional,150,75,0,#964b00
BrownWeb,165,42,42,#a52a2a
BubbleGum,255,193,204,#ffc1cc
Bubbles,231,254,255,#e7feff
Buff,240,220,130,#f0dc82
BulgarianRose,72,6,7,#480607
Burgundy,128,0,32,#800020
Burlywood,222,184,135,#deb887
BurntOrange,204,85,0,#000c50
BurntSienna,233,116,81,#e97451
BurntUmber,138,51,36,#8a3324
Byzantine,189,51,164,#bd33a4
Byzantium,112,41,99,#702963
Cadet,83,104,114,#536872
CadetBlue,95,158,160,#5f9ea0
CadetGrey,145,163,176,#91a3b0
CadmiumGreen,0,107,60,#006b3c
CadmiumOrange,237,135,45,#ed872d
CadmiumRed,227,0,34,#e30022
CadmiumYellow,255,246,0,#fff600
CafeAuLait,166,123,91,#a67b5b
CafeNoir,75,54,33,#4b3621
CalPolyGreen,30,77,43,#1e4d2b
CambridgeBlue,163,193,173,#a3c1ad
Camel,193,154,107,#c19a6b
CameoPink,239,187,204,#efbbcc
CamouflageGreen,120,134,107,#78866b
CanaryYellow,255,239,0,#ffef00
CandyAppleRed,255,8,0,#ff0800
CandyPink,228,113,122,#e4717a
Capri,0,191,255,#00bfff
CaputMortuum,89,39,32,#592720
Cardinal,196,30,58,#c41e3a
CaribbeanGreen,0,204,153,#0000c9
Carmine,150,0,24,#960018
CarmineMP,215,0,64,#d70040
CarminePink,235,76,66,#eb4c42
CarmineRed,255,0,56,#ff0038
CarnationPink,255,166,201,#ffa6c9
Carnelian,179,27,27,#b31b1b
CarolinaBlue,153,186,221,#99badd
CarrotOrange,237,145,33,#ed9121
CatalinaBlue,6,42,120,#062a78
Ceil,146,161,207,#92a1cf
Celadon,172,225,175,#ace1af
CeladonBlue,0,123,167,#007ba7
CeladonGreen,47,132,124,#2f847c
CelesteColour,178,255,255,#b2ffff
CelestialBlue,73,151,208,#4997d0
Cerise,222,49,99,#de3163
CerisePink,236,59,131,#ec3b83
Cerulean,0,123,167,#007ba7
CeruleanBlue,42,82,190,#2a52be
CeruleanFrost,109,155,195,#6d9bc3
CgBlue,0,122,165,#007aa5
CgRed,224,60,49,#e03c31
Chamoisee,160,120,90,#a0785a
Champagne,250,214,165,#fad6a5
Charcoal,54,69,79,#36454f
CharmPink,230,143,172,#e68fac
ChartreuseTraditional,223,255,0,#dfff00
ChartreuseWeb,127,255,0,#7fff00
Cherry,222,49,99,#de3163
CherryBlossomPink,255,183,197,#ffb7c5
Chestnut,205,92,92,#cd5c5c
ChinaPink,222,111,161,#de6fa1
ChinaRose,168,81,110,#a8516e
ChineseRed,170,56,30,#aa381e
ChocolateTraditional,123,63,0,#7b3f00
ChocolateWeb,210,105,30,#d2691e
ChromeYellow,255,167,0,#ffa700
Cinereous,152,129,123,#98817b
Cinnabar,227,66,52,#e34234
Cinnamon,210,105,30,#d2691e
Citrine,228,208,10,#e4d00a
ClassicRose,251,204,231,#fbcce7
Cobalt,0,71,171,#0047ab
CocoaBrown,210,105,30,#d2691e
Coffee,111,78,55,#6f4e37
ColumbiaBlue,155,221,255,#9bddff
CongoPink,248,131,121,#f88379
CoolBlack,0,46,99,#002e63
CoolGrey,140,146,172,#8c92ac
Copper,184,115,51,#b87333
CopperCrayola,218,138,103,#da8a67
CopperPenny,173,111,105,#ad6f69
CopperRed,203,109,81,#cb6d51
CopperRose,153,102,102,#000966
Coquelicot,255,56,0,#ff3800
Coral,255,127,80,#ff7f50
CoralPink,248,131,121,#f88379
CoralRed,255,64,64,#ff4040
Cordovan,137,63,69,#893f45
Corn,251,236,93,#fbec5d
CornellRed,179,27,27,#b31b1b
CornflowerBlue,100,149,237,#6495ed
Cornsilk,255,248,220,#fff8dc
CosmicLatte,255,248,231,#fff8e7
CottonCandy,255,188,217,#ffbcd9
Cream,255,253,208,#fffdd0
Crimson,220,20,60,#dc143c
CrimsonGlory,190,0,50,#be0032
Cyan,0,255,255,#0000ff
CyanProcess,0,183,235,#00b7eb
Daffodil,255,255,49,#ffff31
Dandelion,240,225,48,#f0e130
DarkBlue,0,0,139,#00008b
DarkBrown,101,67,33,#654321
DarkByzantium,93,57,84,#5d3954
DarkCandyAppleRed,164,0,0,#a40000
DarkCerulean,8,69,126,#08457e
DarkChestnut,152,105,96,#986960
DarkCoral,205,91,69,#cd5b45
DarkCyan,0,139,139,#008b8b
DarkElectricBlue,83,104,120,#536878
DarkGoldenrod,184,134,11,#b8860b
DarkGray,169,169,169,#a9a9a9
DarkGreen,1,50,32,#013220
DarkImperialBlue,0,65,106,#00416a
DarkJungleGreen,26,36,33,#1a2421
DarkKhaki,189,183,107,#bdb76b
DarkLava,72,60,50,#483c32
DarkLavender,115,79,150,#734f96
DarkMagenta,139,0,139,#8b008b
DarkMidnightBlue,0,51,102,#000036
