ID Name,Red,Green,Blue,Alpha,Hexadecimal,Description
RAL7038,195,195,195,1,#B5B8B1,Agategrey
RAL7016,041,049,051,1,#293133,Anthracitegrey
RAL3014,211,110,112,1,#D36E70,Antiquepink
RAL5009,002,086,105,1,#025669,Azureblue
RAL7012,078,087,084,1,#4E5754,Basaltgrey
RAL1001,194,176,120,1,#C2B078,Beige
RAL8024,121,085,061,1,#79553D,Beigebrown
RAL7006,109,101,082,1,#6D6552,Beigegrey
RAL3012,193,135,107,1,#C1876B,Beigered
RAL5004,032,033,079,1,#18171C,Blackblue
RAL8022,033,033,033,1,#212121,Blackbrown
RAL6012,052,062,064,1,#343E40,Blackgreen
RAL7021,035,040,043,1,#23282B,Blackgrey
RAL6015,059,060,054,1,#3B3C36,Blackolive
RAL3007,065,034,039,1,#412227,Blackred
RAL6004,031,058,061,1,#1F3A3D,Bluegreen
RAL7031,071,075,078,1,#474B4E,Bluegrey
RAL4005,108,070,117,1,#6C4675,Bluelilac
RAL6007,052,059,041,1,#343B29,Bottlegreen
RAL2008,247,094,037,1,#F75E25,Brightredorange
RAL5007,062,095,138,1,#3E5F8A,Brillantblue
RAL1032,214,174,001,1,#D6AE01,Broomyellow
RAL1011,138,102,066,1,#8A6642,Brownbeige
RAL7013,070,069,049,1,#464531,Browngrey
RAL3011,120,031,025,1,#781F19,Brownred
RAL6008,057,053,042,1,#39352A,Browngreen
RAL5019,027,085,131,1,#1B5583,Capriblue
RAL3002,162,035,029,1,#A2231D,Carminered
RAL7033,125,132,113,1,#7D8471,Cementgrey
RAL8015,099,058,052,1,#633A34,Chestnutbrown
RAL8017,069,050,046,1,#45322E,Chocolatebrown
RAL6020,046,058,035,1,#2E3A23,Chromegreen
RAL4004,110,028,052,1,#641C34,Claretviolet
RAL8003,115,066,034,1,#734222,Claybrown
RAL5013,037,041,074,1,#1E213D,Cobaltblue
RAL7023,104,108,094,1,#686C5E,Concretegrey
RAL8004,142,064,042,1,#8E402A,Copperbrown
RAL3016,179,040,033,1,#B32821,Coralred
RAL9001,250,244,227,1,#FDF4E3,Cream
RAL1027,157,145,001,1,#9D9101,Curry
RAL1007,220,156,000,1,#DC9D00,Daffodilyellow
RAL1033,243,165,005,1,#F3A505,Dahliayellow
RAL2011,236,124,038,1,#EC7C26,Deeporange
RAL5023,073,103,141,1,#49678D,Distantblue
RAL7037,125,127,120,1,#7D7F7D,Dustygrey
RAL6001,040,114,051,1,#287233,Emeraldgreen
RAL8007,089,053,031,1,#59351F,Fawnbrown
RAL6025,061,100,045,1,#3D642D,Ferngreen
RAL6009,049,055,043,1,#31372B,Firgreen
RAL3000,175,043,030,1,#AF2B1E,Flamered
RAL5010,014,041,075,1,#0E294B,Gentianblue
RAL1004,205,164,052,1,#CDA434,Goldenyellow
RAL7026,047,053,059,1,#2F353B,Granitegrey
RAL9011,028,028,028,1,#1C1C1C,Graphiteblack
RAL7024,071,074,081,1,#474A51,Graphitegrey
RAL6010,053,104,045,1,#35682D,Grassgreen
RAL1000,190,189,127,1,#BEBD7F,Greenbeige
RAL5001,031,052,056,1,#1F3438,Greenblue
RAL8000,130,108,052,1,#826C34,Greenbrown
RAL7009,077,086,069,1,#4D5645,Greengrey
RAL9007,143,143,143,1,#8F8F8F,Greyaluminium
RAL1019,158,151,100,1,#9E9764,Greybeige
RAL5008,038,037,045,1,#26252D,Greyblue
RAL8019,064,058,058,1,#403A3A,Greybrown
RAL6006,062,059,050,1,#3E3B32,Greyolive
RAL9002,231,235,218,1,#E7EBDA,Greywhite
RAL4003,222,076,138,1,#DE4C8A,Heatherviolet
RAL1005,169,131,007,1,#A98307,Honeyyellow
RAL7011,067,075,077,1,#434B4D,Irongrey
RAL1014,225,204,079,1,#E1CC4F,Ivory
RAL9005,010,010,010,1,#0A0A0A,Jetblack
RAL7008,106,095,049,1,#6A5F31,Khakigrey
RAL6002,045,087,044,1,#2D572C,Leafgreen
RAL1012,199,180,070,1,#C7B446,Lemonyellow
RAL5012,059,131,189,1,#3B83BD,Lightblue
RAL6027,132,195,190,1,#84C3BE,Lightgreen
RAL7035,215,215,215,1,#D7D7D7,Lightgrey
RAL1015,230,214,144,1,#E6D690,Lightivory
RAL3015,234,137,154,1,#EA899A,Lightpink
RAL3026,254,000,000,1,#FE0000,Luminous
RAL2007,255,164,032,1,#FFA420,Luminousbrightorange
RAL2005,255,035,001,1,#FF2301,Luminousorange
RAL3024,248,000,000,1,#F80000,Luminousred
RAL1026,255,255,000,1,#FFFF00,Luminousyellow
RAL6038,000,247,000,1,#00F700,Luminousgreen
RAL8016,076,047,039,1,#4C2F27,Mahoganybrown
RAL1006,228,160,016,1,#E4A010,Maizeyellow
RAL6017,076,145,065,1,#4C9141,Maygreen
